--- scanner 0 ---
536,703,543
-132,-41,-64
-429,350,-809
-477,567,455
-369,-732,-732
-806,-680,810
502,729,469
-417,400,-831
497,-739,-564
-545,-726,-743
271,357,-605
13,-26,94
508,-654,-647
-581,-685,774
396,-908,355
-481,568,418
-634,-665,910
306,410,-668
540,739,539
465,-656,-423
-474,-628,-795
-463,568,426
254,306,-662
358,-788,353
-396,313,-691
251,-873,452

--- scanner 1 ---
405,377,-919
-471,604,350
479,506,644
495,326,707
-407,-663,-846
618,-537,318
-584,506,-618
-577,-375,640
682,-442,283
-579,-587,598
612,361,-928
-253,-680,-729
512,382,-895
531,379,751
-468,-460,659
-262,-699,-913
974,-376,-550
539,-333,326
917,-437,-630
-422,787,372
48,7,-59
-451,618,404
-697,390,-626
-766,485,-587
971,-556,-663

--- scanner 2 ---
-652,-598,521
680,708,-671
401,-847,-328
-666,588,522
-629,-292,-571
256,-750,-363
-576,-428,-551
-698,690,-828
640,385,384
698,679,-614
-801,-392,-556
490,-475,680
-594,-543,549
27,-15,66
-878,546,524
-703,476,-864
741,661,-790
-793,527,633
506,-675,668
-736,691,-860
-646,-597,737
650,579,455
363,-849,-448
-77,-44,-102
636,387,485
609,-565,657

--- scanner 3 ---
-694,-480,675
-79,48,-39
-713,754,292
329,-686,-566
352,-717,-653
689,385,454
-736,862,-562
-619,615,350
687,515,-478
754,359,540
-741,-551,707
-416,-641,-826
780,-406,714
757,427,547
-766,670,-548
376,-703,-591
-676,-675,645
616,-364,628
-413,-651,-750
-645,601,324
-837,864,-558
618,546,-543
651,-444,702
-438,-700,-839
735,493,-571

--- scanner 4 ---
-530,746,312
786,-443,556
-889,-559,548
707,-625,-700
-597,746,-565
-695,733,324
797,-456,613
521,468,-520
798,-448,530
-820,-811,-882
-905,-712,-989
700,666,439
759,795,432
637,796,456
-877,-533,314
-887,-526,362
671,-621,-704
-575,696,330
-940,-809,-844
-478,699,-504
-654,717,-547
-56,111,-123
529,444,-427
618,407,-518
697,-695,-738

--- scanner 5 ---
-622,-664,638
91,56,-46
-584,-588,503
-597,-542,-844
637,-732,382
541,-389,-695
608,849,773
-824,472,329
-715,664,-901
-807,472,398
696,824,658
-748,513,423
734,-704,553
-603,-571,-996
702,-641,519
-564,648,-902
-546,-560,-802
529,757,-875
-774,670,-893
710,934,780
-633,-647,616
45,186,-187
571,805,-747
469,-300,-758
548,722,-801
470,-365,-800

--- scanner 6 ---
-63,90,49
498,853,-791
578,-569,-624
-655,-638,533
625,-555,-405
612,-558,-546
481,703,-791
472,508,699
-676,-594,581
641,-783,554
689,489,688
-597,648,491
-588,829,-432
447,-795,466
-611,-448,-552
-628,702,-523
517,666,-715
-730,-425,-642
-606,719,-512
-714,-437,-442
-537,611,499
-462,665,425
597,478,703
460,-784,616
-648,-556,677

--- scanner 7 ---
845,881,-301
-501,-349,486
-315,-608,-344
-480,685,-388
718,980,-308
915,979,627
-279,-529,-320
749,-436,411
-508,-323,638
-557,-346,709
744,-481,476
738,-636,412
-431,775,-306
-486,759,-520
378,-599,-409
-575,569,537
538,-579,-380
94,37,37
-656,696,463
931,951,534
931,865,728
448,-570,-525
-739,579,511
-301,-469,-277
782,925,-452

--- scanner 8 ---
-642,587,781
449,768,-502
-541,-248,454
-652,688,-666
-657,-301,345
388,565,306
-711,575,-617
-597,592,716
31,60,-133
-705,-303,534
-728,553,-628
518,471,325
-449,-629,-686
-462,-608,-643
399,395,424
573,-579,-519
-49,145,4
485,-560,410
365,-564,556
408,793,-443
-580,-592,-693
542,-671,-541
408,862,-426
380,-463,470
-442,598,780
580,-773,-513

--- scanner 9 ---
511,-520,557
831,490,487
-549,-659,-680
536,-615,-490
165,-84,33
652,-552,474
-516,602,-544
-439,-556,-691
-267,-451,305
-822,579,548
-571,544,-572
-16,-6,-106
841,452,-616
-517,596,-760
-364,-306,340
584,-594,-534
820,314,481
680,-622,-572
883,419,585
-722,751,533
-639,-540,-703
735,-563,559
947,393,-650
-686,526,528
905,520,-588
-265,-413,425

--- scanner 10 ---
-737,650,-388
799,760,694
-389,-453,768
-667,-803,-543
537,-419,977
573,-564,910
699,461,-254
-644,698,-366
-657,-874,-737
556,-410,793
-672,581,-419
-653,-773,-735
680,814,727
78,-167,23
-376,-475,827
861,-734,-576
649,-736,-534
776,-625,-595
-649,292,813
860,817,614
-624,339,830
50,-20,162
-465,-450,778
-562,315,844
903,382,-262
794,525,-219

--- scanner 11 ---
99,76,34
-676,680,608
-416,-818,449
-383,-733,-582
-278,-673,-485
-263,-587,-586
-297,-719,373
610,574,866
544,-363,576
743,689,-672
-817,391,-552
-607,706,535
601,429,776
-805,494,-602
-779,332,-498
699,-427,570
703,798,-570
759,-798,-323
643,-689,-270
-605,648,465
648,653,-655
-286,-837,543
-21,-98,124
581,458,936
807,-609,-325
744,-362,565

--- scanner 12 ---
-425,-551,749
399,-500,-745
621,-564,617
458,551,789
-771,404,712
-635,-782,-410
141,-60,-11
-407,-500,691
427,311,-461
434,438,-362
-786,391,773
-533,-750,-406
578,374,-417
420,485,830
376,378,782
-602,225,-477
535,-509,559
-733,594,734
652,-499,714
-466,-660,638
375,-461,-524
-501,241,-363
13,-15,-141
392,-416,-592
-585,-935,-464
-408,225,-391

--- scanner 13 ---
-869,-562,284
-626,-660,-761
863,541,-592
-615,-577,-676
594,-454,-831
-713,476,667
915,554,-452
621,-462,713
528,750,450
680,-516,627
-640,407,641
-783,478,609
866,578,-609
-705,797,-876
-875,786,-758
662,-561,828
-658,-801,-678
524,593,486
-852,-619,335
-799,667,-857
-817,-556,388
479,-362,-887
490,705,572
101,-76,-131
-40,-1,16
414,-474,-816

--- scanner 14 ---
441,817,-678
-598,650,753
371,-553,781
-510,-749,-608
9,-9,185
364,-412,661
-698,-767,-537
-695,787,-546
-93,144,106
676,-367,-546
-564,746,-667
478,752,-535
-588,-350,394
565,773,-725
-587,-306,537
-678,698,-692
-773,-762,-605
-393,632,689
597,749,893
827,-282,-517
-490,578,681
380,-405,668
808,-318,-662
578,692,850
579,917,825
-578,-442,497

--- scanner 15 ---
711,434,636
-814,919,616
-367,796,-569
667,-597,612
637,-360,-736
668,-381,618
699,-371,-662
-351,789,-562
591,759,-398
786,439,704
128,62,-70
-793,-527,-586
722,-569,670
-754,-553,694
600,895,-438
601,851,-295
-796,-491,821
-663,834,645
-795,883,761
-690,-470,-654
-728,-676,-612
-690,-525,762
639,-287,-734
-358,648,-682
523,452,707

--- scanner 16 ---
509,-793,667
878,553,565
-582,760,-790
-599,-400,-777
581,-549,-837
-498,-416,-891
-405,-400,-863
-530,575,-848
769,655,525
-8,-11,-79
538,-953,687
90,-139,81
-529,308,461
402,325,-509
-282,-582,524
-347,-587,569
654,-883,658
-718,306,509
-609,253,625
-283,-593,724
-632,607,-844
430,-486,-793
395,241,-662
437,-613,-892
733,638,620
378,286,-730

--- scanner 17 ---
754,602,-677
-722,-580,-369
-439,722,669
-372,731,-647
16,-1,-34
164,118,125
433,-796,-390
474,-459,828
943,619,739
-765,-605,576
-402,923,-633
697,631,-695
873,649,-738
-700,-639,-356
592,-518,899
-756,-789,557
566,-719,-309
475,-540,761
-725,-590,-445
692,-807,-381
-611,-722,593
-550,783,796
911,620,701
